sc_point_gid,year,capacity
95625,2016,29.3
120920,2021,12.0
86752,2024,65.0
88121,2024,51.85
88805,2024,65.0
90174,2024,65.0
91543,2024,13.15
86754,2025,386.35
86755,2025,145.99
87437,2025,298.05
87439,2025,184.16
88123,2025,83.49
88806,2025,357.5
89490,2025,18.3
90859,2025,41.15
86753,2026,34.55
87438,2026,327.12
88122,2026,272.16
88807,2026,134.88
89491,2026,94.54
90175,2026,60.75
92118,2026,3.4
92802,2026,3.4
93486,2026,3.4
93487,2026,3.4
94170,2026,3.4
94171,2026,3.4
114769,2026,378.33
115453,2026,300.32
116137,2026,167.35
116821,2026,120.0
101794,2027,511.34
102479,2027,294.81
103163,2027,3.86
120921,2027,530.84
120922,2027,530.84
120923,2027,530.84
120924,2027,519.27
121605,2027,528.2
